t,x,y,r,u,phi
0.6272517790503847,0.813122293953969,0.646476280281885,1.0387971148843584,0.9626518842529925,0.6717179153876854
0.6364449241070924,0.8078855113988667,0.6547368733863016,1.0398843074591895,0.961645437696198,0.6810700778313992
0.6456477465259968,0.8025824020480772,0.6629568765412635,1.0409852699393058,0.9606283862770744,0.6904124058921133
0.6548603678031536,0.7972132946641145,0.671135780153488,1.0420999340713168,0.9596008667740347,0.6997447971539273
0.6640829088271454,0.7917785221009941,0.67927307717763,1.0432282307524086,0.9585630167223993,0.7090671505341458
0.6733154898715872,0.7862784212835976,0.6873682631477144,1.0443700900346256,0.9575149743773738,0.7183793662904542
0.68255823058767,0.7807133331867857,0.6954208362084118,1.0455254411292092,0.9564568786771559,0.7276813460277382
0.6918112499967429,0.7750836028142596,0.70343029714615,1.0466942124109857,0.9553888692061945,0.7369729927045431
0.7010746664829354,0.7693895791771724,0.7113961494200621,1.0478763314228057,0.9543110861586126,0.7462542106391776
0.7103485977858166,0.7636316152724931,0.7193178991927698,1.0490717248800372,0.9532236703018103,0.7555249055154629
0.7196331609930978,0.7578100680611216,0.7271950553609976,1.0502803186751077,0.9521267629402648,0.7647849843881288
0.7289284725333725,0.7519252984457611,0.7350271295860196,1.0515020378821003,0.9510205058795379,0.774034355687859
0.7382346481688987,0.7459776712485418,0.7428136363239329,1.0527368067613962,0.9499050413905125,0.7832729292259881
0.7475518029884229,0.7399675551884062,0.7505540928557585,1.0539845487643722,0.948780512173864,0.7925006161988507
0.7568800514000448,0.733895322858249,0.7582480193173672,1.0552451865381447,0.9476470613247875,0.8017173291917885
0.7662195071241246,0.7277613507018195,0.7658949387292299,1.0565186419303672,0.9465048322979878,0.8109229821828147
0.7755702831862328,0.7215660189903839,0.7734943770259846,1.0578048359940726,0.9453539688729533,0.8201174905459375
0.7849324919101442,0.71530971179915,0.7810458630858284,1.0591036889925696,0.9441946151195172,0.8293007710541526
0.7943062449108733,0.7089928169834584,0.788548928759723,1.060415120404385,0.9430269153637247,0.838472741882096
0.8036916530877556,0.702615726154736,0.7960031089004183,1.061739048928256,0.9418510141540175,0.847633322608372
0.813088826617572,0.6961788346562187,0.8034079413912876,1.0630753924881702,0.9406670562277434,0.8567824342175515
0.8224978749477186,0.6896825415384434,0.8107629671749769,1.0644240682384531,0.9394751864780073,0.8659199991018457
0.831918906789422,0.6831272495345074,0.8180677302818646,1.0657849925689058,0.9382755499208696,0.8750459410624619
0.8413520301109991,0.6765133650351034,0.8253217778583272,1.0671580811099866,0.9370682916629061,0.8841601853106392
0.8507973521311646,0.6698412980633234,0.8325246601948147,1.0685432487380422,0.9358535568691372,0.8932626584683734
0.8602549793123827,0.663111462249241,0.8396759307537311,1.0699404095805856,0.934631490731337,0.9023532885688299
0.8697250173542685,0.6563242748042685,0.8467751461971146,1.0713494770216176,0.9334022384367319,0.9114320050564518
0.8792075711870343,0.6494801564952918,0.8538218664141248,1.0727703637069996,0.9321659451370946,0.9204987387867651
0.8887027449649849,0.6425795316185856,0.8608156545483245,1.0742029815498657,0.9309227559182481,0.9295534220258849
0.8982106420600603,0.635622827973509,0.8677560770247644,1.075647241736086,0.9296728157699805,0.938595988449729
0.9077313650554277,0.6286104768359853,0.8746427035768611,1.0771030547297717,0.9284162695563837,0.9476263731429388
0.9172650157391219,0.6215429129317636,0.8814751072730718,1.0785703302788257,0.9271532619866206,0.9566445125975162
0.926811695097734,0.6144205744094711,0.8882528645433602,1.0800489774205377,0.9258839375861294,0.9656503447111754
0.9363715033101524,0.6072439028134469,0.8949755552054581,1.0815389044872241,0.9246084406682687,0.9746438087854221
0.9459445397413511,0.600013343056372,0.9016427624909119,1.08304001911191,0.9233269153064144,0.9836248455233528
0.9555309029362303,0.5927293433916854,0.9082540730709205,1.0845522282340558,0.9220395053065081,0.9925933970271904
0.9651306906135068,0.5853923553857947,0.9148090770819604,1.0860754381053264,0.9207463541800686,1.001549406795553
0.9747439996596555,0.5780028338900833,0.9213073681511926,1.0876095542954027,0.9194476051176659,1.0104928197204615
0.9843709261229049,0.5705612370127104,0.9277485434216584,1.0891544816978367,0.9181434009628666,1.0194235820840944
0.9940115652072801,0.5630680260902124,0.9341322035772514,1.0907101245359463,0.9168338841866533,1.0283416415552895
1.0036660112667026,0.5555236656589009,0.940457952867475,1.0922763863687543,0.9155191968623209,1.0372469471858006
1.0133343577991403,0.5479286234260661,0.9467253991319752,1.0938531700969658,0.914199480640856,1.0461394494063103
1.0230166974408106,0.5402833702409797,0.9529341538248528,1.0954403779689883,0.9128748767268006,1.0550191000222098
